temperature_K	electron_density_cm-3	gas_pressure_dyn_cm-2	mass_density_g_cm-3	column_mass_g_cm-2
4.768800000000000182e+03	1.167000000000000000e+14	4.714000000000000000e+06	1.678455539761535004e-05	4.713504640000000023e+01
4.854000000000000000e+03	1.412000000000000000e+14	5.286000000000000000e+06	1.835701926690170381e-05	5.285235089999999758e+01
4.939800000000000182e+03	1.702000000000000000e+14	5.923000000000000000e+06	2.007920752304435767e-05	5.922574490000000225e+01
5.031600000000000364e+03	2.060000000000000000e+14	6.635000000000000000e+06	2.193310458807952817e-05	6.634130089999999313e+01
5.126199999999999818e+03	2.492000000000000000e+14	7.431000000000000000e+06	2.395765703216037231e-05	7.429510919999999885e+01
5.230300000000000182e+03	3.035000000000000000e+14	8.318000000000000000e+06	2.610348392489243450e-05	8.317535940000000494e+01
5.336899999999999636e+03	3.685000000000000000e+14	9.310000000000000000e+06	2.845419557054689789e-05	9.310354030000000591e+01
5.453699999999999818e+03	4.496000000000000000e+14	1.042000000000000000e+07	3.096258181919620082e-05	1.042319099999999992e+02
5.576500000000000000e+03	5.488000000000000000e+14	1.167000000000000000e+07	3.370716898968491743e-05	1.167168000000000063e+02
5.712800000000000182e+03	6.746000000000000000e+14	1.306000000000000000e+07	3.658929880756549454e-05	1.307499249999999904e+02
5.858300000000000182e+03	8.312000000000000000e+14	1.463000000000000000e+07	3.973356946588398124e-05	1.465445660000000032e+02
